state,Station,District,District LGD Code,Latitude,Longitude,hour,rainfall_mm,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,flood_soon,flood_event_id,rainfall_12h,rainfall_48h,rainfall_72h,rainfall_6h_max,rainfall_24h_max,month,hour_of_day,is_monsoon,hours_since_prev
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-04 17:00:00,3.0,1.0,3.0,9.0,9.0,0,,42.0,241.0,438.0,3.0,14.0,2,17,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-04 18:00:00,2.0,1.0,2.0,10.0,10.0,0,,35.0,221.0,439.0,3.0,14.0,2,18,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 01:00:00,5.0,1.0,1.0,3.0,16.0,0,,23.0,217.0,416.0,3.0,14.0,2,1,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 02:00:00,1.0,1.0,2.0,2.0,17.0,0,,24.0,220.0,405.0,5.0,14.0,2,2,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 03:00:00,1.0,5.0,7.0,7.0,22.0,0,,24.0,218.0,380.0,5.0,14.0,2,3,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 04:00:00,1.0,1.0,7.0,8.0,23.0,0,,24.0,217.0,380.0,5.0,14.0,2,4,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 05:00:00,12.0,1.0,7.0,9.0,24.0,0,,23.0,208.0,374.0,5.0,14.0,2,5,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 06:00:00,1.0,1.0,3.0,10.0,25.0,0,,32.0,213.0,384.0,12.0,14.0,2,6,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-05 17:00:00,4.0,14.0,14.0,14.0,43.0,0,,38.0,218.0,390.0,12.0,12.0,2,17,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-02-21 10:00:00,1.0,1.0,1.0,5.0,7.0,0,,43.0,214.0,358.0,12.0,12.0,2,10,0,1.0
Assam,Nalbari WRD Office,NALBARI,298,26.45472222,91.44805556,2022-03-26 01:00:00,3.0,1.0,1.0,1.0,1.0,0,,40.0,173.0,333.0,4.0,12.0,3,1,0,1.0
